policy_id,dataset,num_rules,ga_fitness,ga_coverage,ga_diversity,ga_suite_size,ga_time_s,jcsce_fitness,jcsce_coverage,jcsce_diversity,jcsce_suite_size,jcsce_time_s,rand_fitness,rand_coverage,rand_diversity,rand_suite_size,rand_time_s,improvement_rand,improvement_jcsce
authzforce_0060.xml,authzforce,1,0.9223,1.0,0.6126,10,0.735,0.8493,1.0,0.6309,10,0.028,0.8287,1.0,0.6289,15,0.054,11.29,8.6
authzforce_0061.xml,authzforce,1,0.7965,1.0,0.0,9,0.218,0.672,1.0,0.0,7,0.01,0.64,1.0,0.0,15,0.027,24.45,18.53
authzforce_0062.xml,authzforce,1,0.7965,1.0,0.0,9,0.198,0.672,1.0,0.0,7,0.007,0.64,1.0,0.0,15,0.026,24.45,18.53
authzforce_0063.xml,authzforce,1,0.8154,1.0,0.0,9,0.22,0.672,1.0,0.0,7,0.008,0.64,1.0,0.0,15,0.031,27.41,21.34
authzforce_0064.xml,authzforce,1,0.7965,1.0,0.0,9,0.243,0.672,1.0,0.0,7,0.012,0.64,1.0,0.0,15,0.03,24.45,18.53
authzforce_0065.xml,authzforce,1,0.8154,1.0,0.0,9,0.241,0.672,1.0,0.0,7,0.007,0.64,1.0,0.0,15,0.024,27.41,21.34
authzforce_0066.xml,authzforce,1,0.8154,1.0,0.0,9,0.243,0.672,1.0,0.0,7,0.006,0.64,1.0,0.0,15,0.023,27.41,21.34
authzforce_0067.xml,authzforce,1,0.8154,1.0,0.0,9,0.242,0.672,1.0,0.0,7,0.009,0.64,1.0,0.0,15,0.025,27.41,21.34
authzforce_0068.xml,authzforce,1,0.8154,1.0,0.0,9,0.205,0.672,1.0,0.0,7,0.01,0.64,1.0,0.0,15,0.023,27.41,21.34
authzforce_0069.xml,authzforce,1,0.8154,1.0,0.0,9,0.248,0.672,1.0,0.0,7,0.007,0.64,1.0,0.0,15,0.023,27.41,21.34
authzforce_0070.xml,authzforce,1,0.8154,1.0,0.0,9,0.252,0.672,1.0,0.0,7,0.006,0.64,1.0,0.0,15,0.027,27.41,21.34
authzforce_0071.xml,authzforce,1,0.8154,1.0,0.0,9,0.227,0.672,1.0,0.0,7,0.009,0.64,1.0,0.0,15,0.035,27.41,21.34
authzforce_0072.xml,authzforce,1,0.8154,1.0,0.0,9,0.215,0.672,1.0,0.0,7,0.006,0.64,1.0,0.0,15,0.02,27.41,21.34
authzforce_0073.xml,authzforce,1,0.8154,1.0,0.0,9,0.263,0.672,1.0,0.0,7,0.008,0.64,1.0,0.0,15,0.026,27.41,21.34
authzforce_0074.xml,authzforce,1,0.8154,1.0,0.0,9,0.23,0.672,1.0,0.0,7,0.006,0.64,1.0,0.0,15,0.023,27.41,21.34
authzforce_0075.xml,authzforce,1,0.8154,1.0,0.0,9,0.261,0.672,1.0,0.0,7,0.006,0.64,1.0,0.0,15,0.023,27.41,21.34
authzforce_0076.xml,authzforce,1,0.8154,1.0,0.0,9,0.236,0.672,1.0,0.0,7,0.006,0.64,1.0,0.0,15,0.02,27.41,21.34
authzforce_0077.xml,authzforce,1,0.8154,1.0,0.0,9,0.214,0.672,1.0,0.0,7,0.008,0.64,1.0,0.0,15,0.024,27.41,21.34
authzforce_0078.xml,authzforce,1,0.8154,1.0,0.0,9,0.236,0.672,1.0,0.0,7,0.006,0.64,1.0,0.0,15,0.033,27.41,21.34
authzforce_0079.xml,authzforce,1,0.7965,1.0,0.0,9,0.224,0.672,1.0,0.0,7,0.006,0.64,1.0,0.0,15,0.033,24.45,18.53
authzforce_0080.xml,authzforce,1,0.7965,1.0,0.0,9,0.234,0.672,1.0,0.0,7,0.006,0.64,1.0,0.0,15,0.02,24.45,18.53
authzforce_0081.xml,authzforce,1,0.9223,1.0,0.6126,10,0.705,0.8493,1.0,0.6309,10,0.042,0.8287,1.0,0.6289,15,0.076,11.29,8.6
